Frequency of Green LED: 5
Duty Cycle of Green LED: 20
Frequency of Red LED: 5
Duty Cycle of Red LED: 50
Time, Green LED, Red LED
16.30,      0,       1
16.32,      0,       0
16.34,      0,       0
16.36,      0,       0
16.38,      0,       0
16.40,      0,       0
16.42,      1,       1
16.44,      1,       1
16.46,      0,       1
16.48,      0,       1
16.50,      0,       1
16.52,      0,       0
16.54,      0,       0
16.56,      0,       0
16.58,      0,       0
16.60,      0,       0
16.62,      1,       1
16.64,      1,       1
16.66,      0,       1
16.68,      0,       1
16.70,      0,       1
16.72,      0,       0
16.74,      0,       0
16.76,      0,       0
16.78,      0,       0
16.80,      0,       0
16.82,      1,       1
16.84,      1,       1
16.86,      0,       1
16.88,      0,       1
16.90,      0,       1
16.92,      0,       0
16.94,      0,       0
16.96,      0,       0
16.98,      0,       0
17.00,      0,       0
17.02,      1,       1
17.04,      1,       1
17.06,      0,       1
17.08,      0,       1
17.10,      0,       1
17.12,      0,       0
17.14,      0,       0
17.16,      0,       0
17.18,      0,       0
17.20,      0,       0
17.22,      1,       1
17.24,      1,       1
17.26,      0,       1
17.28,      0,       1
17.30,      0,       1
17.32,      0,       0
17.34,      0,       0
17.36,      0,       0
17.38,      0,       0
17.40,      0,       0
17.42,      1,       1
17.44,      1,       1
17.46,      0,       1
17.48,      0,       1
17.50,      0,       1
17.52,      0,       0
17.54,      0,       0
17.56,      0,       0
17.58,      0,       0
17.60,      0,       0
17.62,      1,       1
17.64,      1,       1
17.66,      0,       1
17.68,      0,       1
17.70,      0,       1
17.72,      0,       0
17.74,      0,       0
17.76,      0,       0
17.78,      0,       0
17.80,      0,       0
17.82,      1,       1
17.84,      1,       1
17.86,      0,       1
17.88,      0,       1
17.90,      0,       1
17.92,      0,       0
17.94,      0,       0
17.96,      0,       0
17.98,      0,       0
18.00,      0,       0
18.02,      1,       1
18.04,      1,       1
18.06,      0,       1
18.08,      0,       1
18.10,      0,       1
18.12,      0,       0
18.14,      0,       0
18.16,      0,       0
18.18,      0,       0
18.20,      0,       0
18.22,      1,       1
18.24,      1,       1
18.26,      0,       1
18.28,      0,       1
18.30,      0,       1
18.32,      0,       0
18.34,      0,       0
18.36,      0,       0
18.38,      0,       0
18.40,      0,       0
18.42,      1,       1
18.44,      1,       1
18.46,      0,       1
18.48,      0,       1
18.50,      0,       1
18.52,      0,       0
18.54,      0,       0
18.56,      0,       0
18.58,      0,       0
18.60,      0,       0
18.62,      1,       1
18.64,      1,       1
18.66,      0,       1
18.68,      0,       1
18.70,      0,       1
18.72,      0,       0
18.74,      0,       0
18.76,      0,       0
18.78,      0,       0
18.80,      0,       0
18.82,      1,       1
18.84,      1,       1
18.86,      0,       1
18.88,      0,       1
18.90,      0,       1
18.92,      0,       0
18.94,      0,       0
18.96,      0,       0
18.98,      0,       0
19.00,      0,       0
19.02,      1,       1
19.04,      1,       1
19.06,      0,       1
19.08,      0,       1
19.10,      0,       1
19.12,      0,       0
19.14,      0,       0
19.16,      0,       0
19.18,      0,       0
19.20,      0,       0
19.22,      1,       1
19.24,      1,       1
19.26,      0,       1
19.28,      0,       1
19.30,      0,       1
19.32,      0,       0
19.34,      0,       0
19.36,      0,       0
19.38,      0,       0
19.40,      0,       0
19.42,      1,       1
19.44,      1,       1
19.46,      0,       1
19.48,      0,       1
19.50,      0,       1
19.52,      0,       0
19.54,      0,       0
19.56,      0,       0
19.58,      0,       0
19.60,      0,       0
19.62,      1,       1
19.64,      1,       1
19.66,      0,       1
19.68,      0,       1
19.70,      0,       1
19.72,      0,       0
19.74,      0,       0
19.76,      0,       0
19.78,      0,       0
19.80,      0,       0
19.82,      1,       1
19.84,      1,       1
19.86,      0,       1
19.88,      0,       1
19.90,      0,       1
19.92,      0,       0
19.94,      0,       0
19.96,      0,       0
19.98,      0,       0
20.00,      0,       0
20.02,      1,       1
20.04,      1,       1
20.06,      0,       1
20.08,      0,       1
20.10,      0,       1
20.12,      0,       0
20.14,      0,       0
20.16,      0,       0
20.18,      0,       0
20.20,      0,       0
20.22,      1,       1
20.24,      1,       1
20.26,      0,       1
20.28,      0,       1
20.30,      0,       1
20.32,      0,       0
20.34,      0,       0
20.36,      0,       0
20.38,      0,       0
20.40,      0,       0
20.42,      1,       1
20.44,      1,       1
20.46,      0,       1
20.48,      0,       1
20.50,      0,       1
20.52,      0,       0
20.54,      0,       0
20.56,      0,       0
20.58,      0,       0
20.60,      0,       0
20.62,      1,       1
20.64,      1,       1
20.66,      0,       1
20.68,      0,       1
20.70,      0,       1
20.72,      0,       0
20.74,      0,       0
20.76,      0,       0
20.78,      0,       0
20.80,      0,       0
20.82,      1,       1
20.84,      1,       1
20.86,      0,       1
20.88,      0,       1
20.90,      0,       1
20.92,      0,       0
20.94,      0,       0
20.96,      0,       0
20.98,      0,       0
21.00,      0,       0
21.02,      1,       1
21.04,      1,       1
21.06,      0,       1
21.08,      0,       1
21.10,      0,       1
21.12,      0,       0
21.14,      0,       0
21.16,      0,       0
21.18,      0,       0
21.20,      0,       0
21.22,      1,       1
21.24,      1,       1
21.26,      0,       1
21.28,      0,       1
21.30,      0,       1
21.32,      0,       0
21.34,      0,       0
21.36,      0,       0
21.38,      0,       0
21.40,      0,       0
21.42,      1,       1
21.44,      1,       1
21.46,      0,       1
21.48,      0,       1
21.50,      0,       1
21.52,      0,       0
21.54,      0,       0
21.56,      0,       0
21.58,      0,       0
21.60,      0,       0
21.62,      1,       1
21.64,      1,       1
21.66,      0,       1
21.68,      0,       1
21.70,      0,       1
21.72,      0,       0
21.74,      0,       0
21.76,      0,       0
21.78,      0,       0
21.80,      0,       0
21.82,      1,       1
21.84,      1,       1
21.86,      0,       1
21.88,      0,       1
21.90,      0,       1
21.92,      0,       0
21.94,      0,       0
21.96,      0,       0
21.98,      0,       0
22.00,      0,       0
22.02,      1,       1
22.04,      1,       1
22.06,      0,       1
22.08,      0,       1
22.10,      0,       1
22.12,      0,       0
22.14,      0,       0
22.16,      0,       0
22.18,      0,       0
22.20,      0,       0
22.22,      1,       1
22.24,      1,       1
22.26,      0,       1
22.28,      0,       1
22.30,      0,       1
22.32,      0,       0
22.34,      0,       0
22.36,      0,       0
22.38,      0,       0
22.40,      0,       0
22.42,      1,       1
22.44,      1,       1
22.46,      0,       1
22.48,      0,       1
22.50,      0,       1
22.52,      0,       0
22.54,      0,       0
22.56,      0,       0
22.58,      0,       0
22.60,      0,       0
22.62,      1,       1
22.64,      1,       1
22.66,      0,       1
22.68,      0,       1
22.70,      0,       1
22.72,      0,       0
22.74,      0,       0
22.76,      0,       0
22.78,      0,       0
22.80,      0,       0
22.82,      1,       1
22.84,      1,       1
22.86,      0,       1
22.88,      0,       1
22.90,      0,       1
22.92,      0,       0
22.94,      0,       0
22.96,      0,       0
22.98,      0,       0
23.00,      0,       0
23.02,      1,       1
23.04,      1,       1
23.06,      0,       1
23.08,      0,       1
23.10,      0,       1
23.12,      0,       0
23.14,      0,       0
23.16,      0,       0
23.18,      0,       0
23.20,      0,       0
23.22,      1,       1
23.24,      1,       1
23.26,      0,       1
23.28,      0,       1
23.30,      0,       1
23.32,      0,       0
23.34,      0,       0
23.36,      0,       0
23.38,      0,       0
23.40,      0,       0
23.42,      1,       1
23.44,      1,       1
23.46,      0,       1
23.48,      0,       1
23.50,      0,       1
23.52,      0,       0
23.54,      0,       0
23.56,      0,       0
23.58,      0,       0
23.60,      0,       0
23.62,      1,       1
23.64,      1,       1
23.66,      0,       1
23.68,      0,       1
23.70,      0,       1
23.72,      0,       0
23.74,      0,       0
23.76,      0,       0
23.78,      0,       0
23.80,      0,       0
23.82,      1,       1
23.84,      1,       1
23.86,      0,       1
23.88,      0,       1
23.90,      0,       1
23.92,      0,       0
23.94,      0,       0
23.96,      0,       0
23.98,      0,       0
24.00,      0,       0
24.02,      1,       1
24.04,      1,       1
24.06,      0,       1
24.08,      0,       1
24.10,      0,       1
24.12,      0,       0
24.14,      0,       0
24.16,      0,       0
24.18,      0,       0
24.20,      0,       0
24.22,      1,       1
24.24,      1,       1
24.26,      0,       1
24.28,      0,       1
24.30,      0,       1
24.32,      0,       0
